artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
blackThought	myFavoriteMutiny	0	0.5	104.6949125	0.237	18.576	blackThought	1				2006	Pick A Bigger Weapon	east	feature_nonSingle	
blackThought	birthdayGirl	-1	3	80.76389181	1.518	25.291	blackThought	1				2008	Rising Down	east	artist_album	
blackThought	riseUp	0	0.25	93.53990061	0.265	20.791	blackThought	1				2008	Rising Down	east	feature_nonSingle	
blackThought	dearGod2	0	0.5	81.5	NA	NA	blackThought	1	NA	NA	NA	2010	howIGotOver	east	artist_album	
blackThought	radioDaze3	-1	3.5	89	NA	NA	blackThought	1	NA	NA	NA	2010	howIGotOver	east	artist_album	
blackThought	rightNow	0	0.5	100.0260485	0.047	19.242	blackThought	1				2010	The Rising Tied	east	feature_single	
blackThought	theFire2	0	0.5	87	NA	NA	blackThought	1	NA	NA	NA	2010	howIGotOver	east	artist_album	
blackThought	koolOn2	0	0.25	90	NA	NA	blackThought	1	NA	NA	NA	2011	undun	east	artist_album	
eminem	loseYourselfDemo1	-1	3.75	90.86	0.171	21.302	didactic	1	0	NA	NA	2002	8 Mile Soundtrack	midwest	soundtrack_single	
eminem	goToSleep1	-1	3.5	91.3589646	0.776	21.792	otherEminem	0	NA	NA	NA	2003	Cradle 2 the Grave Soundtrack	midwest	soundtrack_single	
eminem	stimulate1	-1	3	88.99601372	0.733	22.307	otherEminem	0	0	NA	NA	2002	8 Mile Soundtrack	midwest	soundtrack_single	
eminem	stimulate2	-1	3	88.96302474	0.767	22.349	otherEminem	0	0	NA	NA	2002	8 Mile Soundtrack	midwest	soundtrack_single	
blackThought	sleep	0	0.25	78.5	NA	NA	blackThought	1	NA	NA	NA	2011	undun	east	artist_album	
blackThought	congregation	-1	3.25	75.99746675	0.674	25.938	blackThought	1				2012	Talib Kweli & Z-Trip Mixtape	east	feature_nonSingle	
blackThought	TNT	-1	3.75	80.9102402	0.278	24.008	blackThought	1				2012	Mayday	east	feature_nonSingle	
blackThought	artImitatesLife	-1	3.25	93.53534369	2.217	22.744	blackThought	1				2013	Gravitas	east	feature_nonSingle	
blackThought	birdsEyeView	-1	1.25	84.000525	2.851	25.708	blackThought	1				2013	Extended Plan	east	feature_nonSingle	
blu	amnesia	-1	2.75	87.96543	NA	NA	genre1	1	0	2003	late	2011	herFavoriteColor	west	undetermined	xxlFreshmen
boneThugs	thugLove	-1	2.25	67	NA	NA	genre1	1	0	1991	early	1997	artOfWar	midwest	undetermined	"betMostInfluential, complexBestSelling"
brotherAli	selfTaught	-1	2.5	97.05106	NA	NA	genre1	1	0	1998	mid	2004	championEP	midwest	undetermined	metacriticGreaterThan84
bubbaSparxxx	deliverance	-1	3.75	91.875	NA	NA	genre1	1	1	1993	mid	2003	deliverance	south	undetermined	complexSleptOn
canibus	secondRound	-1	2.75	93.96307	NA	NA	genre1	1	0	1992	mid	1998	can-i-bus	east	undetermined	sourceTop50Lyricists
cashis	waterWhippin	-1	3.5	70	NA	NA	genre1	1	0	2003	late	2012	theArtofDying	midwest	undetermined	complexSleptOn
